Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,
Cabinet Office,CABINET OFFICE,02/01/2015,CONSULTANTS VAT RECOVERABLE,GPU POLICY AND STRATEGY ADMIN,INVESTMENT PROPERTY DATABANK LTD,3000055844,110000.00,Supply of bench mark data and support,,,,,
Cabinet Office,CABINET OFFICE,02/01/2015,CONSULTANTS VAT RECOVERABLE,GPU POLICY AND STRATEGY ADMIN,INVESTMENT PROPERTY DATABANK LTD,3000055844,110000.00,Supply of bench mark data and support,,,,,
Cabinet Office,CABINET OFFICE,02/01/2015,RESOURCE GRANTS PRIVATE SECTOR,GDS ID ASSURANCE,OPEN IDENTITY EXCHANGE UK LTD,3000055836,200000.00,Open Identity Exchange membership for GOV.UK Verify Identity Assurance Programme,,,,,
Cabinet Office,CABINET OFFICE,02/01/2015,SOFTWARE LEASE/LICENSE,CCS RESILIENT TELECOMMUNICATIONS,ORDNANCE SURVEY,3000055862,480000.00,Resilience Direct Development of Mapping. Development of a multi agency real time mapping application to allow users to overlay data on Ordnance Survey basemaps and access key national datasets,,,,,
Cabinet Office,CABINET OFFICE,02/01/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000055834,2944547.41,Civil Service pension administration services,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,CAPITA BUSINESS SERVICES LTD,3000055890,26218.99,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,"FURNITURE, FIXTURES & FITTINGS (NON-PRIME)",REFURBISHMENT NO 10,BOUYGUES E&S FM UK LTD,3000055872,28231.81,Estate Services,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,CONSULTANTS VAT RECOVERABLE,ERG STRATEGY,PRICEWATERHOUSE COOPERS LLP,3000055889,34667.00,Savings Measurement and Benefits Realisation support costs,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,OTHER TRAVEL COSTS,OVERSEAS MISSIONS,FOREIGN & COMMONWEALTH OFFICE,3000055901,39493.12,Official travel,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,KAINOS SOFTWARE LTD,3000055866,75040.00,Individual Electoral Registration Live Service development costs,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,FM CONTRACT VARIABLE,REFURBISHMENT NO 10,BOUYGUES E&S FM UK LTD,3000055872,78436.95,Estate Services,,,,,
Cabinet Office,CABINET OFFICE,05/01/2015,ADDITIONSAUC F/H NON RES BLDGS,MODERNISATION PROGRAMME DS 13/14,BOUYGUES E&S FM UK LTD,3000055872,157998.25,Estate Services,,,,,
Cabinet Office,CABINET OFFICE,06/01/2015,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,SME CONTRACT MANAGMENT LEAD,CAPITA BUSINESS SERVICES LTD,3000055917,31406.40,Publication of newsletter for pension scheme members,,,,,
Cabinet Office,CABINET OFFICE,06/01/2015,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000055912,64852.80,MyCSP programme costs,,,,,
Cabinet Office,CABINET OFFICE,06/01/2015,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000055914,125285.92,Shared Services charges,,,,,
Cabinet Office,Crown Commercial Service,07/01/2015,FM Service Charges - Capital Bldg,Estates Management,DTZ,PINDOH 41813,18005.50,Facilities Managemnent Services ,,,,,
Cabinet Office,Crown Commercial Service,07/01/2015,Service Charges Capital,Estates Management,DTZ,PINDOH 41813,34340.00,Facilities Managemnent Services ,,,,,
Cabinet Office,CABINET OFFICE,07/01/2015,CONSULTANTS VAT RECOVERABLE,ERG CIVIL SERVICE TALENT,YSC LTD,3000055924,37150.00,Cabinet Office Refresh 2014 event costs ,,,,,
Cabinet Office,CABINET OFFICE,07/01/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,PA CONSULTING SERVICES LTD,3000055948,38000.00,Support for Mutuals Information Service,,,,,
Cabinet Office,Crown Commercial Service,07/01/2015,MOTO Capital Bldg 8th Floor,Estates Management,DTZ,PINDOH 41813,39060.00,Rent for accommodation,,,,,
Cabinet Office,Crown Commercial Service,07/01/2015,MOTO Capital Bldg 9th Floor,Estates Management,DTZ,PINDOH 41813,39215.00,Rent for accommodation,,,,,
Cabinet Office,CABINET OFFICE,07/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA RESOURCING LTD,3000055938,39640.99,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,07/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA RESOURCING LTD,3000055938,39829.84,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,07/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS GOV UK TRANSITION,CAPITA RESOURCING LTD,3000055938,41550.59,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,07/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA RESOURCING LTD,3000055938,51589.14,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,07/01/2015,OTHER LEGAL FEES,ERG COMMERCIAL PORTFOLIO TEAM,DLA PIPER UK,3000055930,111741.40,Legal services ,,,,,
Cabinet Office,CABINET OFFICE,08/01/2015,STAFF TRAINING VAT RECOVERABLE,POLICY DELIVERY,CAPITA BUSINESS SERVICES LTD,3000055969,31800.00,Staff training costs. Team coaching over 12 days,,,,,
Cabinet Office,CABINET OFFICE,08/01/2015,STAFF RELATED COSTS,CABINET OFFICE SECURITY TEAM,FCO SERVICES,3000055974,38134.80,Vetting fees,,,,,
Cabinet Office,CABINET OFFICE,08/01/2015,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,STEP UP TO SERVE,3000055993,95000.00,Grant to fund activities with the aim of helping to double the number of young people aged 10-20 engaged in meaningful social action by 2020.,,,,,
Cabinet Office,Crown Commercial Service,08/01/2015,Consultancy Fees (Advice),Enablement Projects,Salesforce.com,PINDOH 41661,104185.22,CRM System Helpdesk and Pipeline Management,,,,,
Cabinet Office,CABINET OFFICE,08/01/2015,FM CONTRACT VARIABLE,SCOPE ISS FUNDING,BOUYGUES ENERGIES & SERVICES,3000055986,111967.83,Facilities Management Services ,,,,,
Cabinet Office,CABINET OFFICE,08/01/2015,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,NATIONAL COUNCIL FOR VOLUNTARY YOUTH SERVICES,3000055973,121391.00,"Grant to develop a youth sector impact measurement initiative, the Centre for Youth Impact, which will deliver an online evidence and resource hub and capacity-building training for youth services",,,,,
Cabinet Office,CABINET OFFICE,08/01/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,HOSPICE,1001155,288011.00,Social Action 'End of Life' support fund,,,,,
Cabinet Office,CABINET OFFICE,08/01/2015,RESOURCE GRANTS PRIVATE SECTOR,TECHNICAL ASSISTANCE,SOCIAL INVESTMENT BUSINESS,3000055971,840873.00,Grant to build the capacity of social ventures so they are better equipped to access to social investment and compete for and deliver public service contracts,,,,,
Cabinet Office,CABINET OFFICE,09/01/2015,OTHER TRAVEL COSTS,OVERSEAS MISSIONS,FOREIGN & COMMONWEALTH OFFICE,3000055999,30369.44,Official travel,,,,,
Cabinet Office,Crown Commercial Service,09/01/2015,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINDOH 41711,40700.21,Whitehall heating systems management,,,,,
Cabinet Office,Crown Commercial Service,09/01/2015,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINDOH 41710,65230.11,Whitehall heating systems management,,,,,
Cabinet Office,Crown Commercial Service,09/01/2015,MOTO Aviation House,Estates Management,Food Standards Agency,PINDOH 41743,83148.06,Rates charges ,,,,,
Cabinet Office,Crown Commercial Service,09/01/2015,WDHS Cost of Heat Supplied,Whitehall District Heating Systems,Cofely,PINDOH 41709,97308.32,Whitehall heating systems management,,,,,
Cabinet Office,Crown Commercial Service,09/01/2015,MOTO Aviation House,Estates Management,Food Standards Agency,PINDOH 41806,100425.00,Rent for accommodation,,,,,
Cabinet Office,CABINET OFFICE,09/01/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,THOUGHTWORKS LTD,3000056027,164982.50,"IT procurement, maintenance and support",,,,,
Cabinet Office,CABINET OFFICE,12/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG MAJOR PROJECTS TEAM,CAPITA BUSINESS SERVICES LTD,3000056065,30180.63,Interim IT Specialists,,,,,
Cabinet Office,CABINET OFFICE,12/01/2015,ADDITIONSAUC F/H NON RES BLDGS,MISC AGREED BY FD - PROG,BOUYGUES E&S FM UK LTD,3000056051,36526.08,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,12/01/2015,FM CONTRACT FIXED COSTS,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000056046,49317.26,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,12/01/2015,RESOURCE GRANTS PRIVATE SECTOR,OPEN DATA PROGRAMME,NATIONAL BIODIVERSITY NETWORK TRUST,3000056067,98800.00,"Grant to help capture, collate and publish key biodiversity datasets",,,,,
Cabinet Office,CABINET OFFICE,12/01/2015,ADDITIONSAUC F/H RES CONSULTANCY (FEES) VAT REC,MISC AGREED BY FD - PROG,BOUYGUES E&S FM UK LTD,3000056051,117015.60,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,12/01/2015,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,THOUGHTWORKS LTD,3000056068,120694.26,Support services to Transformation Delivery Team,,,,,
Cabinet Office,CABINET OFFICE,12/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,OPEN DATA PROGRAMME,CAMBRIDGESHIRE COUNTY COUNCIL,3000056072,122000.00,Grant to spread best practice across data owners in Cambridgeshire,,,,,
Cabinet Office,CABINET OFFICE,12/01/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000056061,789927.50,Adminstration services for the Royal Mail Statutory Pension Scheme,,,,,
Cabinet Office,CABINET OFFICE,12/01/2015,ADDITIONSAUC F/H NON RES BLDGS,CABINET OFFICE ESTATE AGREED BY FD - DEL PROGRAMME,BOUYGUES E&S FM UK LTD,3000056051,1283199.61,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,12/01/2015,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME PENSIONS PROGRAMME,MYCSP LTD,3000056054,1385389.20,MyCSP programme costs,,,,,
Cabinet Office,CABINET OFFICE,13/01/2015,FM CONTRACT VARIABLE,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000056103,244049.08,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,13/01/2015,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,THE POLICE REHABILITATION CENTRE,3000056089,256000.00,Grant to improve facilities to aid the physical rehabilitation of police officers,,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,STAFF HEALTHCARE AND COUNSELLING SERVICES,HR RESIDUAL,MINISTRY OF JUSTICE,3000056137,25000.00,Support services relating to complex HR casework,,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,CLIPPER VENTURES PLC,1001161,25000.00,GREAT Campaign ,,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000056113,40992.78,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,NORTH HIGHLAND LTD,3000056121,45696.50,Solution and transition services to Digital and Technology Team,,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,FM CONTRACT FIXED COSTS,ADMIRALTY ARCH,BOUYGUES E&S FM UK LTD,3000056113,46118.44,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,CONSULTANTS VAT RECOVERABLE,ERG CIVIL SERVICE REFORM,HAY GROUP LTD,3000056105,49500.00,Consultancy support on diversity in the Civil Service in relation to the talent action plan,,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,FM CONTRACT VARIABLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000056113,52703.13,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,TELECOM RENTALS,ICT SERVICES,VODAFONE LTD,3000056116,64474.49,Telecomms charges,,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,THE AMBULANCE SERVICES CHARITY,3000056135,91058.00,"Grant to support The Ambulance Services Charity to undertake a programme of organisational development including new office accommodation, IT and a website",,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,RESOURCE GRANTS PRIVATE SECTOR,PROGRAMME & STRATEGY OFFICE,THE AMBULANCE SERVICES CHARITY,3000056135,116452.00,"Grant to support The Ambulance Services Charity to undertake a programme of organisational development including new office accommodation, IT and a website",,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,FM CONTRACT FIXED COSTS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000056113,547066.58,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000056115,963263.23,MyCSP programme costs,,,,,
Cabinet Office,CABINET OFFICE,14/01/2015,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME PENSIONS PROGRAMME,MYCSP LTD,3000056115,1340430.00,MyCSP programme costs,,,,,
Cabinet Office,CABINET OFFICE,15/01/2015,STAFF RELATED COSTS,SME GOVERNANCE LEAD,FINANCIAL REPORTING COUNCIL,3000056181,38505.00,Pensions Levy fee,,,,,
Cabinet Office,CABINET OFFICE,15/01/2015,RESOURCE GRANTS PRIVATE SECTOR,CO CONTRIBUTION - ISS PROJECTS,CYBER SECURITY CHALLENGE UK LTD,3000056190,45000.00,Support for cyber security challenge competitions and skills programmes ,,,,,
Cabinet Office,CABINET OFFICE,15/01/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),ERG CONTESTABLE POLICY FUND,DWP,3000056166,50000.00,"Matched funding for the Contestable Policy Fund project ""Assisted living projects for disabled people""",,,,,
Cabinet Office,CABINET OFFICE,15/01/2015,OTHER IS IT COSTS VAT RECOV, GDS ID ASSURANCE,SKYSCAPE CLOUD SERVICES LTD,3000056157,71724.54,Storage and hosting services for Verify Identity Assurance Programme,,,,,
Cabinet Office,CABINET OFFICE,15/01/2015,ADDITIONSAUC F/H NON RES BLDGS,CABINET OFFICE ESTATE AGREED BY FD - DEL PROGRAMME,BOUYGUES E&S FM UK LTD,3000056171,111119.23,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,16/01/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,E SYNERGY SOLUTIONS LTD,3000056209,34760.00,Service Desk IT support ,,,,,
Cabinet Office,CABINET OFFICE,16/01/2015,CONSULTANTS VAT RECOVERABLE,ERG CIVIL SERVICE PEOPLE SURVEY,SCRAPERWIKI LTD,3000056213,36925.14,People Survey digital reporting tool build and maintenance,,,,,
Cabinet Office,CABINET OFFICE,16/01/2015,OTHER IS IT COSTS VAT RECOV,CERT,SUREVINE LTD,3000056205,94035.50,IT Development for CERT UK,,,,,
Cabinet Office,CABINET OFFICE,16/01/2015,CONSULTANTS VAT RECOVERABLE,SME IDR & PENSIONS TECHNICAL LEAD,GOVERNMENT ACTUARYS DEPARTMENT GAD,3000056239,320977.39,Actuarial Services,,,,,
Cabinet Office,CABINET OFFICE,16/01/2015,OTHER LEGAL FEES,SME IDR & PENSIONS TECHNICAL LEAD,GOVERNMENT ACTUARYS DEPARTMENT GAD,3000056239,350018.78,Legal services,,,,,
Cabinet Office,CABINET OFFICE,16/01/2015,RESOURCE GRANTS PRIVATE SECTOR,ISA 2 Prog,CYBER SECURITY CHALLENGE UK LTD,3000056218,400000.00,"Support for cyber security on-line gaming platform, mentoring scheme and universities program  ",,,,,
Cabinet Office,CABINET OFFICE,19/01/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,SOFTWARE BOX LTD,3000056285,29615.00,Support of the LANDesk Software ,,,,,
Cabinet Office,CABINET OFFICE,19/01/2015,FM CONTRACT VARIABLE,REFURBISHMENT NO 10,BOUYGUES E&S FM UK LTD,3000056251,40000.00,Estate Services,,,,,
Cabinet Office,CABINET OFFICE,19/01/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),CENTRE FOR SOCIAL ACTION,THE NUFFIELD TRUST,3000056263,47320.88,Evaluation of grant projects under Reducing Pressures on Hospitals Fund,,,,,
Cabinet Office,CABINET OFFICE,19/01/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),SECTOR SUPPORT EVALUATIONS,TNS UK LTD,3000056249,52896.00,Community Life Survey,,,,,
Cabinet Office,CABINET OFFICE,19/01/2015,GRANT IN AID PRIVATE SECTOR,GRANT PAYMENTS,THE CHEQUERS ESTATE,1001164,173750.00,Quarterly grant payment to the Chequers Trust,,,,,
Cabinet Office,CABINET OFFICE,20/01/2015,CHILDCARE VOUCHERS,HR REWARD AND EMPLOYEE RELATIONS TEAM,ACCOR TA EDENRED,1001167,26807.05,Childcare vouchers,,,,,
Cabinet Office,CABINET OFFICE,20/01/2015,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,CAMERA EYE LTD,3000056324,36630.00,GREAT Campaign ,,,,,
Cabinet Office,CABINET OFFICE,20/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA RESOURCING LTD,3000056307,39458.91,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,20/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS, PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000056307,50204.39,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,20/01/2015,GRANT FUND MANAGEMENT,CENTRE FOR SOCIAL ACTION,SOCIAL INVESTMENT BUSINESS,3000056296,55932.00,Grants fund management administration costs,,,,,
Cabinet Office,CABINET OFFICE,20/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA RESOURCING LTD,3000056307,72608.90,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,20/01/2015,SUNNINGDALE PARK PFI SERVICE CHARGES,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000056321,173043.77,PFI Service Charge for Sunningdale Park,,,,,
Cabinet Office,CABINET OFFICE,21/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,WALSALL METROPOLITAN BOROUGH COUNCIL,3000056356,29693.75,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,21/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,WOLVERHAMPTON CITY COUNCIL,3000056358,36192.55,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,Crown Commercial Service,21/01/2015,Maintenance & Repairs - IT,Enablement Projects,IBM UNITED KINGDOM LTD,PINDOH 41890,43064.00,eSourcing system licences,,,,,
Cabinet Office,CABINET OFFICE,21/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,SHROPSHIRE COUNCIL,3000056354,48787.84,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,Crown Commercial Service,21/01/2015,Consultancy Fees (Advice),Commercial Reform Team,Pricewaterhouse Coopers LLP,PINDOH 41838,86108.20,Spend and Savings Tracker Framework,,,,,
Cabinet Office,Crown Commercial Service,21/01/2015,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 41916,104008.64,Legal services ,,,,,
Cabinet Office,CABINET OFFICE,21/01/2015,FM CONTRACT LIFECYCLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000056349,127500.00,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,21/01/2015,CALL CHARGES,ICT SERVICES,VODAFONE LTD,3000056377,198832.76,Telecomms charges,,,,,
Cabinet Office,CABINET OFFICE,21/01/2015,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,TREASURY SOLICITOR TSOL,3000056338,630860.75,Legal services,,,,,
Cabinet Office,CABINET OFFICE,21/01/2015,GRANT IN AID PRIVATE SECTOR,NCS IMB,NCS TRUST CIC,3000056365,1780786.28,National Citizen Service costs ,,,,,
Cabinet Office,CABINET OFFICE,22/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LINCOLN CITY COUNCIL,3000056392,25401.44,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
