Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
DEFRA,Natural England,17/07/2012,"IT services, equipment & consumables",Corporate Services,Atos IT Services UK Ltd,5584110156," £59,812.99 ",Application development costs for the Genesis IT System,WV10 6UH,,1/08.04.11,,,,,
DEFRA,Natural England,27/07/2012,"IT services, equipment & consumables",Corporate Services,Atos IT Services UK Ltd,5584110064," £897,454.80 ","Charge for hosting, support and development of the Genesis IT System",WV10 6UH,,24525,,,,,
DEFRA,Natural England,11/07/2012,Barclaycard purchases,Corporate Services,Barclaycard Business Issuing,4.71532E+21," £26,464.17 ",July monthly payment for Government Procurement Card expenditure,TS17 6YG,,,,,,,
DEFRA,Natural England,27/07/2012,Grants & contributions,"Science, Evidence & Advice",Bat Conservation Trust,1254," £59,808.00 ",Bat conservation services,SE11 5RD,SME,,,,,,
DEFRA,Natural England,11/07/2012,Legal costs,Corporate Services,Browne Jacobson,FLOATLEGALCOSTS," £30,000.00 ",Legal services,NG1 7BJ,,,,,,,
DEFRA,Natural England,25/07/2012,Land Management payments,Customers & Land Management,Caldbeck Commons Fund,ERS-980242-40281," £79,364.71 ",Wildlife Enhancment Scheme Payment,CA7 8JZ,SME,,,,,,
DEFRA,Natural England,19/07/2012,Land Management payments,"People, Landscape & Biodiversity",Charles Blois,ERS-980173-40013," £89,466.58 ",Minsmere and Walberswick National Nature Reserve Heathland Land Lease 2012-2013,IP17 3RJ,SME,,,,,,
DEFRA,Natural England,13/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36415," £37,520.70 ",Rates for the Manchester Office,B4 6HT,,,,,,,
DEFRA,Natural England,17/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36380," £162,213.34 ",Rates for the Bristol Office,B4 6HT,,,,,,,
DEFRA,Natural England,13/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36339," £32,816.08 ",Rates for the York Office,B4 6HT,,,,,,,
DEFRA,Natural England,17/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36382," £111,970.47 ",Rates for the Newcastle Office,B4 6HT,,,,,,,
DEFRA,Natural England,13/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36446," £66,986.87 ",Rates for the Leads Office,B4 6HT,,,,,,,
DEFRA,Natural England,13/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36431," £42,754.45 ",Rates for the Ashford Office,B4 6HT,,,,,,,
DEFRA,Natural England,13/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36419," £29,941.48 ",Rates for the Kendal Office,B4 6HT,,,,,,,
DEFRA,Natural England,13/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36402," £43,663.33 ",Rates for the Norwich Office,B4 6HT,,,,,,,
DEFRA,Natural England,13/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36447," £88,781.20 ",Rates for the London Office,B4 6HT,,,,,,,
DEFRA,Natural England,17/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36433," £61,419.98 ",Rates for the Exeter Office,B4 6HT,,,,,,,
DEFRA,Natural England,13/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36445," £85,772.07 ",Rates for the Peterborough Office,B4 6HT,,,,,,,
DEFRA,Natural England,13/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36254," £26,867.76 ",Service charge for the Nottingham Office,B4 6HT,,,,,,,
DEFRA,Natural England,13/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36427," £47,901.95 ",Rates for the Guildford Office,B4 6HT,,,,,,,
DEFRA,Natural England,13/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,36374," £32,059.50 ",Rates for the Tauton Office,B4 6HT,,,,,,,
DEFRA,Natural England,17/07/2012,"Rent, management & utility charges",Corporate Services,D T Z,35760," £27,272.37 ",Depreciation charges for the Newcastle Office,B4 6HT,,,,,,,
DEFRA,Natural England,03/07/2012,"IT services, equipment & consumables",Corporate Services,DEFRA,1000016646," £2,399,997.60 ",Depreciation charges for the Genesis IT System,YO1 7PX,,,,,,,
DEFRA,Natural England,17/07/2012,"Monitoring, Evaluation & Surveillance costs","Science, Evidence & Advice",DEFRA,1000016825," £60,995.46 ",Contribution to the Annual Renewal of British Geological Survey Defra Network Licence for 2012/2013 ,YO1 7PX,,24522,,,,,
DEFRA,Natural England,03/07/2012,Service charges,Corporate Services,DEFRA,1000016747," £868,123.20 ",Defra Shared Services charges,YO1 7PX,,,,,,,
DEFRA,Natural England,11/07/2012,Grants & contributions,"People, Landscape & Biodiversity",Dorset County Council,ERS-980135-39981," £32,226.73 ",National Trails Grant,DT1 1XJ,,23646,,,,,
DEFRA,Natural England,09/07/2012,Science & Evidence Studies,"Science, Evidence & Advice",Footprint Ecology Ltd,20121318," £30,000.00 ",Thames Basin Heaths Special Protection Area visitor survey,BH20 7PA,SME,24480,,,,,
DEFRA,Natural England,05/07/2012,"Monitoring, Evaluation & Surveillance costs","People, Landscape & Biodiversity",Icarus Collective Limited,18125207," £35,503.09 ",Access to Nature Evaluation contract,,SME,20376,,,,,
DEFRA,Natural England,23/07/2012,"Monitoring, Evaluation & Surveillance costs","Science, Evidence & Advice",Knowledge Dock (UEL) Ltd,35008680," £48,788.65 ",Expert witness services,E16 2RD,SME,24419,,,,,
DEFRA,Natural England,27/07/2012,Grants & contributions,"People, Landscape & Biodiversity",Marlborough Downs NIA,ERS-980251-40292," £46,000.00 ",Nature Improvement Area Grant,BA14 6BT,SME,,,,,,
DEFRA,Natural England,09/07/2012,Audit services,Corporate Services,National Audit Office,4084," £65,000.00 ",External Audit Fees,SW1W 9SP,,24154,,,,,
DEFRA,Natural England,23/07/2012,Grants & contributions,Customers & Land Management,National Farmers Union,0P0026973," £44,115.00 ",Contribution to the Voluntary Initiative national partnership with Catchment Sensitive Farming,CV8 2TZ,SME,23813,,,,,
DEFRA,Natural England,25/07/2012,Grants & contributions,"People, Landscape & Biodiversity",Organised Chaos North Cic,ERS-980226-40289," £32,848.68 ",Access to Nature Grant,HD6 4EN,SME,,,,,,
DEFRA,Natural England,19/07/2012,Grants & contributions,"People, Landscape & Biodiversity",R S P B,ERS-980183-40010," £25,998.72 ",Access to Nature Grant,SG19 2DL,,,,,,,
DEFRA,Natural England,27/07/2012,Travel & subsistence costs,Corporate Services,Redfern Travel Ltd,36183," £200,656.31 ",Monthly charge for rail travel costs,BD1 3AZ,SME,,,,,,
DEFRA,Natural England,05/07/2012,RBS purchases,Corporate Services,Royal Bank Of Scotland,5.5695E+21," £341,381.84 ",July monthly payment for Government Procurement Card expenditure,EC2M 4BA,,,,,,,
DEFRA,Natural England,05/07/2012,Grants & contributions,"People, Landscape & Biodiversity",The National Trust,ERS-980109-39948," £34,884.52 ",Access to Nature Grant,B9 4AA,,,,,,,
DEFRA,Natural England,05/07/2012,Grants & contributions,"People, Landscape & Biodiversity",The Woodland Trust,ERS-980095-39952," £71,262.07 ",Access to Nature Grant,NG31 6LL,,,,,,,
DEFRA,Natural England,03/07/2012,"IT services, equipment & consumables",Corporate Services,Tnt Uk Limited,1200998," £54,956.75 ",File scanning,BL0 9AR,SME,21468,,,,,
DEFRA,Natural England,09/07/2012,"Monitoring, Evaluation & Surveillance costs","Science, Evidence & Advice",University Of Southampton,44108588," £53,069.00 ",Development of a national biodiversity climate change vulnerability model,SO17 1BJ,,23779,,,,,
DEFRA,Natural England,27/07/2012,"Monitoring, Evaluation & Surveillance costs","Science, Evidence & Advice",YSI Hydrodata Ltd,2392," £48,000.00 ",Spatial depth and water quality surveys,SG6 1FJ,SME,24195,,,,,
